city,travel_month,avg_temp_c,temp_max_c,temp_min_c,rainfall_mm,sunshine_hours,uv_index_max,wind_speed_max_kmh,precipitation_probability_max,sunshine_category,rain_category,wind_category,sunshine_score,comfort_score,last_updated
Liverpool,4,9,12,6,18,35.0,2,26,75,mixed,showery,breezy,42,40,2025-06-09T00:41:42.815052
Liverpool,5,11,14,8,15,35.0,1,24,75,mixed,showery,breezy,42,60,2025-06-09T00:41:43.419202
Liverpool,6,15,18,12,18,35.0,1,23,75,mixed,showery,breezy,42,240,2025-06-09T00:41:44.007253
Liverpool,7,16,18,13,22,35.0,1,24,75,mixed,showery,breezy,42,230,2025-06-09T00:41:44.600822
Liverpool,8,16,19,13,20,35.0,1,23,75,mixed,showery,breezy,42,17,2025-06-09T00:41:45.200874
Liverpool,9,14,17,12,22,35.0,2,25,75,mixed,showery,breezy,42,90,2025-06-09T00:41:45.810785
Liverpool,10,11,13,9,28,35.0,2,28,75,mixed,wet,breezy,42,50,2025-06-09T00:41:46.428861
Liverpool,11,7,9,5,27,35.0,3,29,75,mixed,wet,breezy,42,10,2025-06-09T00:41:47.027761
Liverpool,12,6,7,4,23,35.0,3,30,75,mixed,wet,breezy,42,0,2025-06-09T00:41:47.624284
Asturias,1,27,29,26,48,35.0,7,20,90,mixed,wet,breezy,42,100,2025-06-09T00:41:48.387935
Asturias,2,27,30,26,35,35.0,6,18,90,mixed,wet,breezy,42,100,2025-06-09T00:41:48.987809
Asturias,3,28,30,26,31,35.0,5,16,90,mixed,wet,breezy,42,100,2025-06-09T00:41:49.580020
Asturias,4,29,32,26,27,35.0,3,13,75,mixed,wet,calm,42,100,2025-06-09T00:41:50.175992
Asturias,5,29,32,27,35,35.0,3,11,90,mixed,wet,calm,42,90,2025-06-09T00:41:50.791754
Asturias,6,29,32,27,54,35.0,3,11,90,mixed,wet,calm,42,90,2025-06-09T00:41:51.392041
Asturias,7,29,31,27,52,35.0,3,14,90,mixed,wet,calm,42,90,2025-06-09T00:41:51.987997
Asturias,8,29,32,27,44,35.0,3,15,90,mixed,wet,breezy,42,90,2025-06-09T00:41:52.599825
Asturias,9,29,31,27,47,35.0,3,14,90,mixed,wet,calm,42,90,2025-06-09T00:41:53.195807
Asturias,10,28,31,26,52,35.0,5,12,90,mixed,wet,calm,42,100,2025-06-09T00:41:53.762951
Asturias,11,28,30,26,51,35.0,6,14,90,mixed,wet,calm,42,100,2025-06-09T00:41:54.352738
Asturias,12,28,30,26,61,35.0,7,17,90,mixed,wet,breezy,42,100,2025-06-09T00:41:54.943934
Sochi,1,6,9,3,33,35.0,4,11,90,mixed,wet,calm,42,10,2025-06-09T00:41:55.578232
Sochi,2,6,8,3,37,35.0,4,12,90,mixed,wet,calm,42,0,2025-06-09T00:41:56.163747
Sochi,3,8,11,5,29,35.0,3,11,75,mixed,wet,calm,42,30,2025-06-09T00:41:56.750311
Sochi,4,12,15,8,25,35.0,2,11,75,mixed,wet,calm,42,70,2025-06-09T00:41:57.321938
Sochi,5,17,20,14,26,35.0,2,10,75,mixed,wet,calm,42,33,2025-06-09T00:41:57.936107
Sochi,6,20,23,17,30,35.0,2,9,90,mixed,wet,calm,42,83,2025-06-09T00:41:58.493408
Sochi,7,24,27,21,16,35.0,2,9,75,mixed,showery,calm,42,83,2025-06-09T00:41:59.082978
Sochi,8,25,27,21,20,35.0,2,9,75,mixed,showery,calm,42,83,2025-06-09T00:41:59.668415
Sochi,9,20,23,17,24,35.0,2,9,75,mixed,wet,calm,42,83,2025-06-09T00:42:00.264227
Sochi,10,16,19,13,22,35.0,3,10,75,mixed,showery,calm,42,17,2025-06-09T00:42:00.850493
Sochi,11,11,14,9,47,35.0,4,12,90,mixed,wet,calm,42,60,2025-06-09T00:42:01.441963
Sochi,12,7,10,5,49,35.0,4,12,90,mixed,wet,calm,42,20,2025-06-09T00:42:02.015429
Yakutsk,1,-36,-33,-39,1,35.0,3,9,10,mixed,arid,calm,42,0,2025-06-09T00:42:02.742151
Yakutsk,2,-30,-26,-35,1,35.0,2,10,10,mixed,arid,calm,42,0,2025-06-09T00:42:03.338222
Yakutsk,3,-17,-12,-23,1,35.0,2,12,10,mixed,arid,calm,42,0,2025-06-09T00:42:03.963783
Yakutsk,4,-5,0,-11,4,35.0,1,14,25,mixed,arid,calm,42,0,2025-06-09T00:42:04.579683
Yakutsk,5,7,13,1,6,35.0,1,13,50,mixed,arid,calm,42,50,2025-06-09T00:42:05.181278
Yakutsk,6,16,21,10,10,35.0,1,13,50,mixed,showery,calm,42,27,2025-06-09T00:42:05.810633
Yakutsk,7,20,24,14,9,35.0,1,13,50,mixed,showery,calm,42,60,2025-06-09T00:42:06.441489
Yakutsk,8,16,21,11,10,35.0,1,13,50,mixed,showery,calm,42,30,2025-06-09T00:42:07.032952
Yakutsk,9,7,12,3,7,35.0,1,12,50,mixed,arid,calm,42,40,2025-06-09T00:42:07.649754
Yakutsk,10,-6,-3,-9,4,35.0,2,12,25,mixed,arid,calm,42,0,2025-06-09T00:42:08.237279
Yakutsk,11,-24,-21,-27,2,35.0,2,10,25,mixed,arid,calm,42,0,2025-06-09T00:42:08.830470
Yakutsk,12,-34,-32,-37,1,35.0,3,9,10,mixed,arid,calm,42,0,2025-06-09T00:42:09.430175
Sofia,1,0,4,-4,10,35.0,4,10,50,mixed,showery,calm,42,0,2025-06-09T00:42:10.112900
Sofia,2,0,5,-4,11,35.0,4,11,50,mixed,showery,calm,42,0,2025-06-09T00:42:10.690060
Sofia,3,6,11,1,14,35.0,3,11,50,mixed,showery,calm,42,30,2025-06-09T00:42:11.281028
Sofia,4,10,15,5,17,35.0,2,11,75,mixed,showery,calm,42,70,2025-06-09T00:42:11.857483
Sofia,5,15,20,10,22,35.0,2,10,75,mixed,showery,calm,42,20,2025-06-09T00:42:12.458808
Sofia,6,18,23,13,24,35.0,2,10,75,mixed,wet,calm,42,50,2025-06-09T00:42:13.037837
Sofia,7,22,27,17,11,35.0,2,10,50,mixed,showery,calm,42,80,2025-06-09T00:42:13.632226
Sofia,8,22,27,17,10,35.0,2,10,50,mixed,showery,calm,42,80,2025-06-09T00:42:14.229146
Sofia,9,18,23,13,8,35.0,2,10,50,mixed,showery,calm,42,50,2025-06-09T00:42:14.831597
Sofia,10,12,17,7,10,35.0,3,9,50,mixed,showery,calm,42,90,2025-06-09T00:42:15.422092
Sofia,11,5,9,1,13,35.0,4,9,50,mixed,showery,calm,42,10,2025-06-09T00:42:16.019579
Sofia,12,0,4,-4,11,35.0,4,9,50,mixed,showery,calm,42,0,2025-06-09T00:42:16.619705
Rijeka,1,5,8,2,31,35.0,4,18,90,mixed,wet,breezy,42,0,2025-06-09T00:42:17.257496
Rijeka,2,5,9,2,23,35.0,3,18,75,mixed,wet,breezy,42,10,2025-06-09T00:42:17.833370
Rijeka,3,9,12,5,29,35.0,3,17,75,mixed,wet,breezy,42,40,2025-06-09T00:42:18.428301
Rijeka,4,13,16,9,25,35.0,2,15,75,mixed,wet,breezy,42,80,2025-06-09T00:42:19.014020
Rijeka,5,17,21,13,26,35.0,1,13,75,mixed,wet,calm,42,38,2025-06-09T00:42:19.613934
Rijeka,6,21,25,17,24,35.0,1,13,75,mixed,wet,calm,42,88,2025-06-09T00:42:20.197506
Rijeka,7,24,28,19,13,35.0,1,14,50,mixed,showery,calm,42,78,2025-06-09T00:42:20.785806
Rijeka,8,24,28,20,12,35.0,1,14,50,mixed,showery,calm,42,75,2025-06-09T00:42:21.388574
Rijeka,9,20,24,16,25,35.0,2,14,75,mixed,wet,calm,42,75,2025-06-09T00:42:21.976644
Rijeka,10,15,18,12,40,35.0,3,16,90,mixed,wet,breezy,42,240,2025-06-09T00:42:22.567210
Rijeka,11,9,12,6,39,35.0,3,19,90,mixed,wet,breezy,42,40,2025-06-09T00:42:23.149200
Rijeka,12,5,8,2,28,35.0,4,18,75,mixed,wet,breezy,42,0,2025-06-09T00:42:23.742867
Trondheim,1,-5,-2,-7,21,35.0,2,14,75,mixed,showery,calm,42,0,2025-06-09T00:42:24.413915
Trondheim,2,-4,-1,-7,24,35.0,2,15,75,mixed,wet,breezy,42,0,2025-06-09T00:42:25.002842
Trondheim,3,-1,3,-4,16,35.0,2,13,75,mixed,showery,calm,42,0,2025-06-09T00:42:25.586644
Trondheim,4,4,8,-1,15,35.0,1,13,50,mixed,showery,calm,42,0,2025-06-09T00:42:26.193607
Trondheim,5,8,12,3,15,35.0,1,12,50,mixed,showery,calm,42,40,2025-06-09T00:42:26.807848
Trondheim,6,12,16,8,17,35.0,1,12,75,mixed,showery,calm,42,80,2025-06-09T00:42:27.403406
Trondheim,7,14,18,11,21,35.0,1,12,75,mixed,showery,calm,42,250,2025-06-09T00:42:27.986825
Trondheim,8,14,17,10,25,35.0,1,12,75,mixed,wet,calm,42,90,2025-06-09T00:42:28.582558
Trondheim,9,11,14,7,26,35.0,1,13,75,mixed,wet,calm,42,60,2025-06-09T00:42:29.180159
Trondheim,10,6,8,3,22,35.0,2,13,75,mixed,showery,calm,42,0,2025-06-09T00:42:29.765630
Trondheim,11,-1,2,-3,21,35.0,2,13,75,mixed,showery,calm,42,0,2025-06-09T00:42:30.359307
Trondheim,12,-4,-1,-7,22,35.0,2,14,75,mixed,showery,calm,42,0,2025-06-09T00:42:30.952919
Bordeaux,1,7,10,4,18,35.0,4,16,75,mixed,showery,breezy,42,20,2025-06-09T00:42:31.560610
Bordeaux,2,7,11,3,12,35.0,3,16,50,mixed,showery,breezy,42,30,2025-06-09T00:42:32.145423
Bordeaux,3,10,14,6,18,35.0,3,17,75,mixed,showery,breezy,42,60,2025-06-09T00:42:32.727014
Bordeaux,4,13,17,8,18,35.0,2,16,75,mixed,showery,breezy,42,90,2025-06-09T00:42:33.314880
Bordeaux,5,16,20,11,18,35.0,2,15,75,mixed,showery,breezy,42,22,2025-06-09T00:42:33.897587
Bordeaux,6,19,24,15,16,35.0,2,14,75,mixed,showery,calm,42,67,2025-06-09T00:42:34.500379
Bordeaux,7,21,26,16,12,35.0,2,14,50,mixed,showery,calm,42,80,2025-06-09T00:42:35.091632
Bordeaux,8,22,28,17,10,35.0,2,13,50,mixed,showery,calm,42,73,2025-06-09T00:42:35.932866
Bordeaux,9,19,24,15,15,35.0,2,13,50,mixed,showery,calm,42,67,2025-06-09T00:42:36.517449
Bordeaux,10,15,19,11,17,35.0,3,14,75,mixed,showery,calm,42,12,2025-06-09T00:42:37.092038
Bordeaux,11,10,14,7,21,35.0,3,15,75,mixed,showery,breezy,42,60,2025-06-09T00:42:37.685159
Bordeaux,12,6,10,3,15,35.0,4,15,50,mixed,showery,breezy,42,20,2025-06-09T00:42:38.290881
Huesca,1,5,10,1,7,35.0,5,19,50,mixed,arid,breezy,42,20,2025-06-09T00:42:38.972022
Huesca,2,6,11,1,9,35.0,4,20,50,mixed,showery,breezy,42,30,2025-06-09T00:42:39.549586
Huesca,3,9,14,3,9,35.0,3,21,50,mixed,showery,breezy,42,60,2025-06-09T00:42:40.146610
Huesca,4,12,18,6,11,35.0,2,21,50,mixed,showery,breezy,42,300,2025-06-09T00:42:40.746666
Huesca,5,16,21,9,12,35.0,2,20,50,mixed,showery,breezy,42,25,2025-06-09T00:42:41.338500
Huesca,6,20,26,14,10,35.0,2,19,50,mixed,showery,breezy,42,67,2025-06-09T00:42:41.930068
Huesca,7,24,30,17,4,35.0,2,20,25,mixed,arid,breezy,42,62,2025-06-09T00:42:42.526950
Huesca,8,24,31,17,5,35.0,2,18,25,mixed,arid,breezy,42,57,2025-06-09T00:42:43.141688
Huesca,9,19,25,14,9,35.0,2,17,50,mixed,showery,breezy,42,64,2025-06-09T00:42:44.047323
Huesca,10,14,19,9,13,35.0,3,18,50,mixed,showery,breezy,42,10,2025-06-09T00:42:44.806106
Huesca,11,9,14,5,12,35.0,4,18,50,mixed,showery,breezy,42,60,2025-06-09T00:42:45.706169
Huesca,12,5,10,1,8,35.0,5,18,50,mixed,showery,breezy,42,20,2025-06-09T00:42:46.314313
Nakhchivan,1,-1,4,-5,5,35.0,5,7,50,mixed,arid,calm,42,0,2025-06-09T00:42:46.938219
Nakhchivan,2,1,7,-4,5,35.0,4,9,50,mixed,arid,calm,42,0,2025-06-09T00:42:47.520730
Nakhchivan,3,7,13,1,9,35.0,3,10,50,mixed,showery,calm,42,50,2025-06-09T00:42:48.105937
Nakhchivan,4,13,19,6,11,35.0,2,11,50,mixed,showery,calm,42,8,2025-06-09T00:42:48.700114
Nakhchivan,5,19,25,12,11,35.0,2,11,50,mixed,showery,calm,42,54,2025-06-09T00:42:49.310373
Nakhchivan,6,24,30,17,5,35.0,2,12,25,mixed,arid,calm,42,62,2025-06-09T00:42:49.899393
Nakhchivan,7,28,35,21,1,35.0,2,13,10,mixed,arid,calm,42,36,2025-06-09T00:42:50.487994
Nakhchivan,8,28,34,21,1,35.0,2,13,10,mixed,arid,calm,42,38,2025-06-09T00:42:51.087819
Nakhchivan,9,22,29,16,2,35.0,2,10,10,mixed,arid,calm,42,62,2025-06-09T00:42:51.695710
Nakhchivan,10,15,21,10,6,35.0,3,8,50,mixed,arid,calm,42,27,2025-06-09T00:42:52.294219
Nakhchivan,11,8,13,3,6,35.0,4,8,50,mixed,arid,calm,42,50,2025-06-09T00:42:52.876621
Nakhchivan,12,2,6,-2,6,35.0,5,7,50,mixed,arid,calm,42,0,2025-06-09T00:42:53.472929
Makhachkala,1,4,6,1,5,35.0,4,19,50,mixed,arid,breezy,42,0,2025-06-09T00:42:54.142866
Makhachkala,2,5,7,2,5,35.0,4,21,50,mixed,arid,breezy,42,0,2025-06-09T00:42:54.742324
Makhachkala,3,5,7,2,6,35.0,3,18,50,mixed,arid,breezy,42,0,2025-06-09T00:42:55.343371
Makhachkala,4,9,12,6,10,35.0,2,20,50,mixed,showery,breezy,42,40,2025-06-09T00:42:55.931150
Makhachkala,5,18,21,15,9,35.0,2,19,50,mixed,showery,breezy,42,50,2025-06-09T00:42:56.559576
Makhachkala,6,23,26,20,10,35.0,2,19,50,mixed,showery,breezy,42,100,2025-06-09T00:42:57.145128
Makhachkala,7,26,28,23,5,35.0,2,18,50,mixed,arid,breezy,42,60,2025-06-09T00:42:57.726943
Makhachkala,8,25,28,23,6,35.0,2,18,50,mixed,arid,breezy,42,60,2025-06-09T00:42:58.319046
Makhachkala,9,21,23,18,13,35.0,2,19,50,mixed,showery,breezy,42,100,2025-06-09T00:42:58.897601
Makhachkala,10,15,17,13,9,35.0,3,19,50,mixed,showery,breezy,42,90,2025-06-09T00:42:59.485740
Makhachkala,11,9,11,7,7,35.0,4,19,50,mixed,arid,breezy,42,30,2025-06-09T00:43:00.081302
Makhachkala,12,4,6,2,7,35.0,4,19,50,mixed,arid,breezy,42,0,2025-06-09T00:43:00.682825
Žilina,1,-2,1,-5,12,35.0,4,13,50,mixed,showery,calm,42,0,2025-06-09T00:43:01.380207
Žilina,2,-2,2,-5,13,35.0,3,14,50,mixed,showery,calm,42,0,2025-06-09T00:43:01.980904
Žilina,3,3,7,-1,12,35.0,2,15,50,mixed,showery,breezy,42,0,2025-06-09T00:43:02.594764
Žilina,4,9,13,4,18,35.0,2,15,75,mixed,showery,breezy,42,50,2025-06-09T00:43:03.180454
Žilina,5,14,18,8,21,35.0,1,14,75,mixed,showery,calm,42,280,2025-06-09T00:43:03.771291
Žilina,6,17,21,12,22,35.0,1,14,75,mixed,showery,calm,42,33,2025-06-09T00:43:04.366993
Žilina,7,18,22,14,24,35.0,1,13,75,mixed,wet,calm,42,50,2025-06-09T00:43:04.974842
Žilina,8,18,23,14,17,35.0,1,12,75,mixed,showery,calm,42,56,2025-06-09T00:43:05.554919
Žilina,9,15,19,10,14,35.0,2,12,50,mixed,showery,calm,42,11,2025-06-09T00:43:06.142710
Žilina,10,10,14,6,13,35.0,2,13,50,mixed,showery,calm,42,60,2025-06-09T00:43:06.752089
Žilina,11,3,5,0,14,35.0,3,13,50,mixed,showery,calm,42,0,2025-06-09T00:43:07.350418
Žilina,12,-2,1,-5,14,35.0,4,13,50,mixed,showery,calm,42,0,2025-06-09T00:43:07.948284
Trabzon,1,6,9,3,23,35.0,5,16,75,mixed,wet,breezy,42,10,2025-06-09T00:43:08.632386
Trabzon,2,6,9,2,27,35.0,4,16,75,mixed,wet,breezy,42,10,2025-06-09T00:43:09.222201
Trabzon,3,8,12,5,27,35.0,3,15,75,mixed,wet,breezy,42,40,2025-06-09T00:43:09.836094
Trabzon,4,12,15,8,36,35.0,2,13,90,mixed,wet,calm,42,70,2025-06-09T00:43:10.428916
Trabzon,5,17,20,13,37,35.0,2,13,90,mixed,wet,calm,42,29,2025-06-09T00:43:11.051608
Trabzon,6,20,22,17,41,35.0,2,12,90,mixed,wet,calm,42,80,2025-06-09T00:43:11.653768
Trabzon,7,23,25,20,23,35.0,2,12,75,mixed,wet,calm,42,100,2025-06-09T00:43:12.252491
Trabzon,8,23,25,21,30,35.0,2,12,90,mixed,wet,calm,42,100,2025-06-09T00:43:12.851189
Trabzon,9,20,22,17,46,35.0,2,12,90,mixed,wet,calm,42,80,2025-06-09T00:43:13.439221
Trabzon,10,16,19,14,46,35.0,3,13,90,mixed,wet,calm,42,20,2025-06-09T00:43:14.057884
Trabzon,11,12,15,9,44,35.0,4,15,90,mixed,wet,breezy,42,70,2025-06-09T00:43:14.651188
Trabzon,12,7,10,4,34,35.0,5,16,90,mixed,wet,breezy,42,20,2025-06-09T00:43:15.234249
Rome,1,8,12,4,22,35.0,5,14,75,mixed,showery,calm,42,40,2025-06-09T00:43:15.893082
Rome,2,8,12,4,19,35.0,4,14,75,mixed,showery,calm,42,40,2025-06-09T00:43:16.485552
Rome,3,10,15,6,18,35.0,3,15,75,mixed,showery,breezy,42,70,2025-06-09T00:43:17.063021
Rome,4,13,18,9,16,35.0,2,15,75,mixed,showery,breezy,42,270,2025-06-09T00:43:17.668089
Rome,5,17,22,12,15,35.0,2,14,75,mixed,showery,calm,42,40,2025-06-09T00:43:18.255955
Rome,6,22,26,16,8,35.0,2,14,50,mixed,showery,calm,42,80,2025-06-09T00:43:18.831537
Rome,7,25,29,19,3,35.0,2,15,25,mixed,arid,breezy,42,70,2025-06-09T00:43:19.412522
Rome,8,25,30,20,4,35.0,2,14,25,mixed,arid,calm,42,60,2025-06-09T00:43:19.999903
Rome,9,21,26,17,12,35.0,2,13,50,mixed,showery,calm,42,89,2025-06-09T00:43:20.594265
Rome,10,17,21,13,28,35.0,3,12,75,mixed,wet,calm,42,38,2025-06-09T00:43:21.191105
Rome,11,12,16,9,28,35.0,4,13,75,mixed,wet,calm,42,80,2025-06-09T00:43:21.760736
Rome,12,8,12,5,22,35.0,5,13,75,mixed,showery,calm,42,40,2025-06-09T00:43:22.350740
Turin,1,1,5,-2,16,35.0,4,7,75,mixed,showery,calm,42,0,2025-06-09T00:43:23.012201
Turin,2,3,8,-1,14,35.0,3,7,50,mixed,showery,calm,42,0,2025-06-09T00:43:23.594321
Turin,3,7,12,2,19,35.0,3,8,75,mixed,showery,calm,42,40,2025-06-09T00:43:24.182997
Turin,4,11,16,6,28,35.0,2,8,75,mixed,wet,calm,42,80,2025-06-09T00:43:24.761958
Turin,5,15,19,10,28,35.0,1,8,75,mixed,wet,calm,42,11,2025-06-09T00:43:25.355374
Turin,6,19,24,14,20,35.0,1,7,75,mixed,showery,calm,42,60,2025-06-09T00:43:25.949606
Turin,7,22,27,17,11,35.0,1,7,50,mixed,showery,calm,42,80,2025-06-09T00:43:26.564879
Turin,8,22,27,17,10,35.0,1,7,50,mixed,showery,calm,42,80,2025-06-09T00:43:27.157486
Turin,9,18,23,14,17,35.0,2,7,75,mixed,showery,calm,42,56,2025-06-09T00:43:27.725359
Turin,10,13,17,9,25,35.0,3,7,75,mixed,wet,calm,42,90,2025-06-09T00:43:28.326364
Turin,11,6,10,3,20,35.0,3,7,75,mixed,showery,calm,42,20,2025-06-09T00:43:28.891986
Turin,12,1,5,-2,13,35.0,4,6,50,mixed,showery,calm,42,0,2025-06-09T00:43:29.461739
Kryvyi Rih,1,-1,1,-4,8,35.0,4,17,50,mixed,showery,breezy,42,0,2025-06-09T00:43:30.099151
Kryvyi Rih,2,-1,2,-5,9,35.0,3,19,50,mixed,showery,breezy,42,0,2025-06-09T00:43:30.699621
Kryvyi Rih,3,3,7,-1,9,35.0,3,18,50,mixed,showery,breezy,42,0,2025-06-09T00:43:31.301447
Kryvyi Rih,4,10,14,5,12,35.0,2,18,50,mixed,showery,breezy,42,60,2025-06-09T00:43:31.879814
Kryvyi Rih,5,16,21,11,13,35.0,1,16,50,mixed,showery,breezy,42,30,2025-06-09T00:43:32.487353
Kryvyi Rih,6,20,25,15,17,35.0,1,16,75,mixed,showery,breezy,42,70,2025-06-09T00:43:33.068140
Kryvyi Rih,7,23,28,18,8,35.0,1,16,50,mixed,showery,breezy,42,80,2025-06-09T00:43:33.657361
Kryvyi Rih,8,23,28,18,6,35.0,1,16,50,mixed,arid,breezy,42,80,2025-06-09T00:43:34.250277
Kryvyi Rih,9,17,22,12,9,35.0,2,16,50,mixed,showery,breezy,42,40,2025-06-09T00:43:34.835035
Kryvyi Rih,10,11,15,7,8,35.0,3,16,50,mixed,showery,breezy,42,70,2025-06-09T00:43:35.417479
Kryvyi Rih,11,3,6,1,11,35.0,3,17,50,mixed,showery,breezy,42,0,2025-06-09T00:43:35.999427
Kryvyi Rih,12,-2,1,-4,11,35.0,4,17,50,mixed,showery,breezy,42,0,2025-06-09T00:43:36.599758
Stavropol,1,-3,1,-6,8,35.0,4,18,50,mixed,showery,breezy,42,0,2025-06-09T00:43:37.186211
