city,travel_month,avg_temp_c,rainfall_mm,flight_cost_eur,accommodation_cost_eur,booking_advance_days
Athens,6,30,15,210,110,30
Athens,7,33,10,230,130,15
Athens,8,33,15,225,125,15
Athens,9,28,25,190,95,30
Athens,10,22,50,170,75,30
Athens,11,17,65,155,65,45
Athens,12,13,75,145,55,45
Helsinki,1,-5,50,170,90,45
Helsinki,2,-4,35,165,85,45
Helsinki,3,-1,40,180,100,30
Helsinki,4,5,35,195,115,30
Helsinki,5,12,40,215,140,30
Helsinki,6,16,55,240,170,30
Helsinki,7,18,75,250,190,15
Helsinki,8,17,80,245,185,15
Helsinki,9,12,65,210,155,30
Helsinki,10,6,70,190,130,30
Helsinki,11,1,65,175,110,45
Helsinki,12,-3,55,160,90,45
Oslo,1,-3,60,180,110,45
Oslo,2,-2,45,175,105,45
Oslo,3,2,50,190,120,30
Oslo,4,7,45,205,140,30
Oslo,5,13,55,225,170,30
Oslo,6,17,70,250,210,30
Oslo,7,19,80,260,230,15
Oslo,8,18,85,255,225,15
Oslo,9,13,75,220,190,30
Oslo,10,7,80,200,160,30
Oslo,11,2,70,185,135,45
Oslo,12,-2,65,170,110,45 
